ID,Hg,DL
6112,0.46,0
6113,0.56,0
6123,1.2,0
6125,1.97,0
6126,2.64,0
6118,0.86,0
6114,0.71,0
6121,0.94,0
6117,0.84,0
6115,0.74,0
6119,0.88,0
6124,1.28,0
6122,1.03,0
6120,0.9,0
6116,0.74,0
6127,0.39,0
6128,0.27,0
6130,0.64,0
6131,1.27,0
6132,0.63,0
6133,0.86,0
6136,2.58,0
6134,0.9,0
6135,1.5,0
6137,2.19,0
6138,1.62,0
6139,1.54,0
6140,0.93,0
6141,0.66,0
6142,2.45,0
6143,0.74,0
6145,0.72,0
6144,0.37,0
6150,0.26,0
6149,0.16,0
6152,1.24,0
6151,0.54,0
6156,0.74,0
6157,1.08,0
6158,0.51,0
6159,1.9,0
6160,2.25,0
6161,1.35,0
6162,0.83,0
6163,2.06,0
6164,0.59,0
6165,1.42,0
6166,0.48,0
6167,0.13,0
6168,0.35,0
6171,0.52,0
6170,0.3,0
6173,0.51,0
6172,0.26,0
6174,0.131665,1
6176,0.065431,1
6180,0.83,0
6179,0.39,0
6182,0.67,0
6181,0.64,0
6183,0.49,0
6184,0.38,0
6187,1.64,0
6188,2.15,0
6189,0.76,0
6190,3.17,0
6191,0.63,0
6192,0.46,0
6193,0.75,0
6194,0.33,0
6195,0.28,0
6196,0.42,0
6199,1.48,0
6200,1.46,0
6201,0.52,0
6202,1.56,0
6203,0.23,0
6204,0.25,0
6205,0.68,0
6216,0.54,0
6223,0.75,0
6212,0.46,0
6235,1.27,0
6228,1.01,0
6220,0.7,0
6210,0.33,0
6233,1.14,0
6229,1.02,0
6225,0.86,0
6221,0.71,0
6218,0.63,0
6214,0.48,0
6211,0.37,0
6237,1.61,0
6234,1.14,0
6232,1.09,0
6230,1.06,0
6227,0.95,0
6226,0.93,0
6224,0.8,0
6222,0.73,0
6236,1.46,0
6219,0.64,0
6217,0.59,0
6215,0.5,0
6213,0.46,0
6231,1.08,0
6238,0.1,0
6239,0.02,0
6240,0.02,0
6242,0.11,0
6243,0.14,0
6244,0.19,0
6245,0.27,0
6241,0.11,0
6246,0.07,0
6247,0.55,0
6252,0.21,0
6254,0.54,0
6256,0.6,0
6257,0.6,0
6255,0.55,0
6253,0.31,0
6259,0.33,0
6261,0.77,0
6260,0.13,0
6264,0.79,0
6263,0.32,0
6266,0.29,0
6267,0.37,0
6270,0.09,0
6272,0.5,0
6271,0.14,0
6269,0.09,0
6274,0.74,0
6273,0.56,0
6276,0.47,0
6277,0.65,0
6278,0.41,0
6279,0.82,0
6280,0.16,0
6281,0.23,0
6282,0.42,0
6283,0.52,0
6285,1.65,0
6286,1.27,0
6287,1.38,0
6288,0.66,0
6289,1.75,0
6290,0.48,0
6291,0.26,0
6292,0.12,0
6293,0.26,0
6294,0.7,0
6295,1.08,0
6299,0.64,0
6300,0.64,0
6304,0.96,0
6303,0.54,0
6307,0.82,0
6311,1.03,0
6309,0.9,0
6305,0.63,0
6312,1.11,0
6310,0.99,0
6308,0.88,0
6306,0.74,0
6328,0.59,0
6316,0.35,0
6345,0.85,0
6321,0.46,0
6355,1.33,0
6335,0.67,0
6318,0.4,0
6350,1.03,0
6341,0.76,0
6332,0.63,0
6340,0.76,0
6320,0.43,0
6352,1.05,0
6314,0.29,0
6358,1.48,0
6353,1.3,0
6347,0.93,0
6343,0.8,0
6338,0.7,0
6333,0.63,0
6330,0.61,0
6326,0.55,0
6323,0.48,0
6348,0.96,0
6319,0.41,0
6317,0.35,0
6356,1.37,0
6315,0.32,0
6313,0.27,0
6357,1.4,0
6354,1.31,0
6351,1.04,0
6349,0.97,0
6346,0.9,0
6344,0.84,0
6342,0.76,0
6339,0.74,0
6337,0.7,0
6334,0.65,0
6336,0.7,0
6331,0.61,0
6329,0.6,0
6327,0.58,0
6325,0.5,0
6324,0.49,0
6322,0.47,0
6360,0.85,0
6359,0.32,0
6363,0.5,0
6364,0.66,0
6365,0.2,0
6366,0.83,0
6367,0.39,0
6370,0.66,0
6369,0.6,0
6371,0.29,0
6372,0.39,0
6373,0.02,0
6374,0.26,0
6375,0.26,0
6376,0.66,0
6379,0.8,0
6378,0.47,0
6381,0.48,0
6380,0.33,0
6382,0.16,0
6391,1.04,0
6383,0.27,0
6387,0.57,0
6389,0.88,0
6385,0.39,0
6390,1.01,0
6388,0.77,0
6386,0.5,0
6384,0.37,0
6393,1.29,0
6394,1.41,0
6395,0.62,0
6396,1.42,0
6397,0.93,0
6398,0.98,0
6399,1.58,0
6400,0.61,0
6401,1.56,0
6402,0.8,0
6403,1.04,0
6404,1.18,0
6405,0.57,0
6406,0.9,0
6407,0.76,0
6408,0.73,0
6410,0.65,0
6411,1.26,0
6416,0.6,0
6412,0.37,0
6418,0.95,0
6414,0.44,0
6419,1.23,0
6417,0.71,0
6415,0.47,0
6413,0.38,0
6420,0.25,0
6421,0.39,0
6422,0.7,0
6423,0.35,0
6424,0.43,0
6425,0.45,0
6426,0.47,0
6427,0.059377,1
6429,0.42,0
6430,0.4,0
6431,0.46,0
6432,1.72,0
6443,1.29,0
6436,0.85,0
6440,1.07,0
6446,2.44,0
6441,1.12,0
6438,1,0
6434,0.58,0
6445,2.29,0
6442,1.24,0
6444,2.02,0
6439,1.03,0
6437,0.95,0
6435,0.77,0
6433,0.55,0
6447,0.8,0
6448,0.31,0
6450,0.49,0
6451,1.36,0
6452,1.18,0
6453,1.86,0
6454,0.61,0
6455,0.21,0
6456,1.43,0
6460,0.65,0
6461,0.89,0
6465,0.43,0
6469,0.91,0
6471,1.32,0
6467,0.76,0
6470,1.31,0
6468,0.85,0
6466,0.75,0
6478,1.03,0
6483,1.43,0
6475,0.81,0
6481,1.33,0
6480,1.24,0
6474,0.73,0
6485,2.41,0
6482,1.41,0
6479,1.09,0
6477,0.95,0
6476,0.85,0
6484,1.47,0
6473,0.66,0
6472,0.53,0
6486,0.6,0
6487,0.41,0
6489,0.81,0
6490,1.05,0
6491,1.4,0
6492,1.46,0
6493,0.26,0
6494,0.31,0
6495,0.33,0
6496,0.39,0
6497,0.43,0
6498,0.45,0
6499,0.5,0
6500,0.58,0
6501,0.61,0
6502,0.63,0
6503,0.63,0
6504,0.72,0
6505,0.74,0
6506,0.85,0
6517,0.48,0
6508,0.350338,1
6513,0.24,0
6510,0.14,0
6511,0.19,0
6512,0.24,0
6514,0.29,0
6515,0.35,0
6516,0.4,0
6509,0.403275,1
6518,1.19,0
6519,1.27,0
6520,1.3,0
6521,1.38,0
6524,0.77,0
6525,0.9,0
6526,1.11,0
6527,1.19,0
6528,1.4,0
6529,1.46,0
6531,0.61,0
6532,0.85,0
6533,0.89,0
6535,1.19,0
6534,0.96,0
6530,0.25,0
6550,1.67,0
6551,1.71,0
6552,1.72,0
6553,1.73,0
6554,1.75,0
6555,1.87,0
6556,1.9,0
6557,1.94,0
6561,2.9,0
6558,2,0
6559,2.16,0
6560,2.65,0
6549,1.65,0
6545,1.53,0
6536,0.89,0
6537,1.03,0
6541,1.31,0
6538,1.24,0
6539,1.29,0
6540,1.3,0
6542,1.34,0
6543,1.46,0
6544,1.48,0
6546,1.53,0
6547,1.61,0
6548,1.61,0
6564,0.76,0
6565,1.13,0
6570,0.79,0
6571,0.24,0
6573,0.31,0
6574,0.39,0
6576,0.08,0
6577,0.17,0
6578,0.15,0
6582,0.61,0
6583,0.7,0
6585,1.7,0
6586,1.13,0
6587,1,0
6588,0.69,0
6589,0.6,0
6590,1.32,0
6591,0.67,0
6592,1.15,0
6594,0.33,0
6595,0.14,0
6596,0.25,0
6597,0.78,0
6598,0.72,0
6599,0.61,0
6600,0.66,0
6601,0.63,0
6602,0.81,0
6603,0.36,0
6604,0.64,0
6605,0.71,0
6606,0.68,0
6607,0.78,0
6608,0.98,0
6609,1.13,0
6610,0.6,0
6611,0.93,0
6612,1.04,0
6613,0.78,0
6614,0.8,0
6615,0.49,0
6616,1.78,0
6617,0.25,0
6618,0.86,0
6619,0.37,0
6620,0.56,0
6623,1.36,0
6624,1.73,0
6625,0.6,0
6626,0.59,0
6627,0.23,0
6628,0.54,0
6629,0.59,0
6630,0.78,0
6631,1.13,0
6632,0.68,0
6633,0.81,0
6646,1.17,0
6645,1.14,0
6641,0.96,0
6634,0.45,0
6643,1.07,0
6639,0.93,0
6636,0.7,0
6647,1.34,0
6644,1.08,0
6642,0.97,0
6640,0.95,0
6638,0.82,0
6637,0.73,0
6635,0.55,0
6648,2.57,0
6649,0.17,0
6650,0.23,0
6651,0.27,0
6652,0.44,0
6653,0.87,0
6675,0.62,0
6693,1.68,0
6694,1.79,0
6654,0.21,0
6683,0.79,0
6668,0.55,0
6658,0.37,0
6688,1.1,0
6679,0.65,0
6671,0.6,0
6665,0.5,0
6660,0.43,0
6656,0.27,0
6696,2.18,0
6691,1.15,0
6686,0.96,0
6681,0.75,0
6677,0.64,0
6673,0.6,0
6685,0.95,0
6666,0.51,0
6663,0.47,0
6662,0.45,0
6661,0.45,0
6659,0.41,0
6657,0.31,0
6655,0.27,0
6697,2.69,0
6695,2.04,0
6692,1.6,0
6690,1.12,0
6687,1.07,0
6684,0.9,0
6682,0.79,0
6680,0.7,0
6678,0.64,0
6676,0.63,0
6674,0.62,0
6672,0.6,0
6670,0.59,0
6669,0.57,0
6667,0.54,0
6689,1.1,0
6664,0.48,0
6698,0.58,0
6699,1.21,0
6701,0.71,0
6702,0.65,0
6703,0.97,0
6704,2.88,0
6705,0.76,0
6706,1.42,0
6707,0.5,0
6710,0.41,0
6711,0.9,0
6712,0.79,0
6713,0.52,0
6715,2.12,0
6714,0.99,0
6721,0.4,0
6720,0.2,0
6723,0.41,0
6722,0.33,0
6724,0.4,0
6725,0.26,0
6727,0.14,0
6728,0.34,0
6730,0.54,0
6729,0.32,0
6731,0.49,0
6732,0.53,0
6735,0.84,0
6736,0.29,0
6752,0.93,0
6753,1.91,0
6754,1.5,0
2486,0.14,0
2487,0.08,0
2488,0.15,0
2489,0.09,0
2490,0.11,0
2491,0.13,0
2492,0.22,0
2493,0.08,0
2494,0.09,0
2495,0.03,0
2496,0.14,0
2497,0.16,0
2498,0.48,0
2499,0.16,0
2500,0.06,0
2501,0.14,0
2502,0.14,0
2503,0.07,0
2504,0.05,0
2505,0.06,0
2506,0.08,0
2507,0.03,0
2508,0.08,0
2509,0.09,0
2510,0.12,0
2511,0.06,0
2512,0.06,0
2513,0.04,0
2515,0.04032,0
2514,0.03984,0
2516,0.03048,0
24922,0.062898,0
24923,0.06973,0
24924,0.108718,0
24925,0.154659,0
2517,0.27,0
2518,0.13,0
2519,0.22,0
2520,0.14,0
2521,0.12,0
2522,0.25,0
2523,0.35,0
2524,0.13,0
2525,0.24,0
2526,0.12,0
2527,0.38,0
2528,0.03,0
2529,0.11,0
2530,0.14,0
2531,0.11,0
2532,0.16,0
2533,0.27,0
2534,0.13,0
2535,0.14,0
2536,0.18,0
2538,0.21,0
2537,0.16,0
2539,0.16,0
2541,0.14,0
2540,0.14,0
2542,0.26,0
2543,0.26,0
2544,0.11,0
2546,0.384,0
2545,0.2535,0
2547,0.230912,0
24927,0.142079,0
24926,0.140603,0
24929,0.33667,0
24928,0.289685,0
5252,0.086,0
5253,0.277,0
5254,0.0477,0
5255,0.171,0
2548,0.27,0
2549,0.18,0
2550,0.23,0
2551,0.1,0
2552,0.1,0
2553,0.7,0
2555,0.33,0
2554,0.2,0
2557,0.15,0
2556,0.05,0
2558,0.14,0
2559,0.14,0
2560,0.49,0
2561,0.27,0
2562,0.07,0
2563,0.15,0
2564,0.14,0
2565,0.09,0
2566,0.14,0
2567,0.08,0
2568,0.1,0
2569,0.12,0
2570,0.11,0
2571,0.08,0
2572,0.09,0
2573,0.18,0
2574,0.10693,0
2575,0.12288,0
2576,0.12558,0
2577,0.11,0
2578,0.13,0
2579,0.22,0
2581,0.2,0
2580,0.06,0
2582,0.1,0
2583,0.12,0
2584,0.25,0
2586,0.3,0
2585,0.18,0
2587,0.1,0
2588,0.41,0
2590,0.1,0
2589,0.07,0
2591,0.24,0
2593,0.26,0
2592,0.23,0
2594,0.6,0
2596,0.1,0
2595,0.08,0
2597,0.18,0
2599,0.09594,0
2598,0.06757,0
2385,0.283,0
26285,0.012658,0
26286,0.020288,0
26287,0.021542,0
26288,0.073671,0
26289,0.127332,0
26290,0.1324,0
26292,0.075075,0
26293,0.108566,0
26291,0.049419,0
26294,0.129482,0
26295,0.1335,0
26296,0.138969,0
26297,0.12455,0
26299,0.220406,0
26298,0.161684,0
26302,0.021177,0
26300,0.0176,0
26301,0.019237,0
26303,0.047074,0
26305,0.077963,0
26304,0.0669,0
26307,0.147777,0
26308,0.153789,0
26306,0.133753,0
26310,0.111905,0
26309,0.109964,0
26311,0.122297,0
26312,0.1492,0
26313,0.153414,0
26314,0.160112,0
26316,0.178848,0
26317,0.26563,0
26315,0.13256,0
26318,0.072209,0
26320,0.070425,0
26319,0.062645,0
26321,0.099629,0
26322,0.018894,0
26324,0.104701,0
26323,0.030407,0
26327,0.0151,0
26326,0.012743,0
26325,0.0125,0
26328,0.0243,0
26330,0.118969,0
26329,0.056491,0
26332,0.063195,0
26331,0.061174,0
26335,0.117389,0
26333,0.096595,0
26334,0.110517,0
26336,0.016,0
26337,0.017,0
26338,0.027,0
26340,0.039,0
26339,0.036,0
26341,0.049,0
26342,0.071,0
26343,0.08,0
26352,0.067,0
26351,0.053,0
26344,0.034,0
26345,0.037,0
26346,0.039,0
26347,0.041,0
26348,0.043,0
26349,0.051,0
26350,0.051,0
26356,0.074,0
26355,0.048,0
26358,0.073,0
26357,0.073,0
26359,0.29,0
26361,0.229,0
26362,0.288,0
26360,0.188,0
26363,0.097909,0
26364,0.104026,0
26365,0.329798,0
26366,0.095089,0
26368,0.392735,0
26367,0.163315,0
26369,0.102509,0
26371,0.170068,0
26370,0.121979,0
26372,0.033,0
26374,0.074,0
26373,0.067,0
26375,0.082,0
26376,0.083,0
26378,0.078886,0
26379,0.090984,0
26377,0.063155,0
26380,0.039,0
26384,0.067,0
26382,0.054,0
26383,0.056,0
26381,0.05,0
26386,0.096,0
26385,0.062,0
26389,0.065,0
26388,0.06,0
26387,0.045,0
26390,0.056,0
26391,0.11,0
26392,0.112,0
26393,0.035,0
26394,0.06,0
26397,0.157,0
26395,0.131,0
26396,0.139,0
26398,0.030706,0
26399,0.032938,0
26400,0.049019,0
26401,0.045728,0
26402,0.047807,0
26403,0.123967,0
26406,0.071657,0
26405,0.063722,0
26404,0.059963,0
26408,0.0907,0
26409,0.141476,0
26407,0.072135,0
26411,0.012494,0
26414,0.015841,0
26412,0.014205,0
26415,0.016788,0
26413,0.014725,0
26410,0.011605,0
26416,0.16,0
26417,0.29,0
26418,0.048,0
26419,0.053,0
26420,0.113,0
26421,0.039,0
26422,0.049,0
26423,0.009,0
26424,0.01,0
26425,0.01,0
26426,0.027,0
26427,0.044,0
26428,0.048,0
26429,0.061,0
26430,0.154,0
26431,0.063,0
26433,0.078,0
26432,0.063,0
26434,0.052,0
26435,0.048826,0
26436,0.055379,0
26437,0.057248,0
26438,0.144061,0
26439,0.165434,0
26440,0.184127,0
26442,0.109916,0
26441,0.084889,0
26443,0.311937,0
26444,0.111,0
26445,0.112,0
26446,0.115,0
26447,0.083,0
26448,0.102,0
26449,0.146,0
26450,0.035,0
26451,0.064,0
26453,0.064,0
26452,0.059,0
26456,0.035,0
26457,0.046,0
26455,0.029,0
26459,0.15,0
26458,0.122,0
26460,0.183,0
26461,0.228,0
26462,0.088177,0
26466,0.231818,0
26465,0.224571,0
26467,0.248154,0
26464,0.147616,0
26463,0.091139,0
26468,0.097367,0
26474,0.120728,0
26470,0.067392,0
26469,0.062076,0
26471,0.070108,0
26472,0.072786,0
26473,0.084833,0
26476,0.13395,0
26475,0.098814,0
26477,0.327579,0
26479,0.156008,0
26478,0.113482,0
26480,0.057014,0
26481,0.04817,0
26482,0.078414,0
26484,0.018,0
26483,0.016,0
26486,0.051,0
26485,0.048,0
26487,0.52,0
26490,0.073,0
26489,0.069,0
26488,0.018,0
26491,0.091,0
26492,0.095456,0
26493,0.068408,0
26494,0.078747,0
26497,0.074969,0
26495,0.053866,0
26496,0.061651,0
26500,0.099157,0
26498,0.063318,0
26499,0.097576,0
26502,2.275,0
26501,0.953,0
26504,0.063128,0
26505,0.067766,0
26503,0.061292,0
26507,0.07846,0
26508,0.114679,0
26506,0.049731,0
26509,0.014049,0
26510,0.014479,0
26511,0.022639,0
26516,0.168666,0
26515,0.10078,0
26514,0.077758,0
26512,0.051426,0
26513,0.06157,0
26517,0.279217,0
26518,0.049384,0
26526,0.122984,0
26522,0.065666,0
26523,0.08205,0
26524,0.090203,0
26520,0.063518,0
26519,0.058975,0
26525,0.099805,0
26521,0.06444,0
26527,0.075134,0
26528,0.061406,0
2386,0.02,0
2387,0.03,0
2388,0.01,0
2389,0.04,0
2390,0.01,0
2391,0.14,0
2392,0.01,0
2393,0.01,0
2394,0.09,0
2395,0.01,0
2396,0.01,0
2601,0.03738,0
2600,0.0338,0
2602,0.15239,0
2603,0.015122,1
2604,0.016744,1
2605,0.015057,1
2654,0.007127,1
2655,0.009368,1
2657,0.02,0
2656,0.004766,1
2658,0.02,0
2661,0.01,0
2660,0.01,0
2662,0.01,0
2663,0.0124,1
2664,0.02,0
2665,0.02,0
2667,0.02,0
2666,0.01,0
2668,0.02,0
2670,0.01,0
2669,0.01,0
2671,0.03,0
2673,0.02,0
2672,0.02,0
2674,0.04,0
2676,0.01452,0
2675,0.013209,0
2677,0.01512,0
2679,0.08,0
2678,0.027155,1
2680,0.025345,1
2681,0.08,0
2683,0.02,0
2682,0.01,0
2684,0.01,0
2685,0.02,0
2686,0.01,0
2687,0.04,0
2688,0.05,0
2689,0.034949,1
2690,0.05,0
2691,0.08,0
2693,0.03,0
2692,0.03,0
2694,0.03,0
2696,0.06,0
2695,0.03,0
2697,0.07,0
2698,0.04,0
2699,0.04,0
2700,0.02,0
2701,0.0411,0
2702,0.08046,0
2703,0.04065,0
25213,0.264085,0
25212,0.092333,0
25215,0.466262,0
25217,1.803314,0
25216,0.633203,0
25221,0.370671,0
25222,0.413075,0
25225,0.498636,0
25226,1.050265,0
25227,1.118907,0
25228,0.246315,0
23611,0.17724,0
23609,0.167913,0
23614,0.192494,0
23612,0.183222,0
23610,0.16882,0
23615,0.193131,0
23616,0.19565,0
23613,0.188238,0
23608,0.143115,0
23606,0.1342,0
23607,0.137808,0
23617,0.051304,0
23625,0.177568,0
23626,0.185504,0
23621,0.127801,0
23627,0.19039,0
23623,0.143028,0
23624,0.173275,0
