ID,measured,LOO_modeled,sigma,DL
5777,0.66,0.962499,0.419149,0
5778,0.71,0.950729,0.41915,0
5781,1.02,0.894409,0.419151,0
5780,0.99,0.898922,0.419152,0
5782,1.41,0.846886,0.419146,0
5783,0.32,0.279138,0.419151,0
5784,0.95,1.048954,0.41915,0
5785,1.47,0.924011,0.419148,0
5786,0.32,0.41177,0.41915,0
5788,0.1,0.225903,0.419137,1
5791,0.7,0.330591,0.419144,0
5790,0.59,0.929084,0.419148,0
5792,0.17,0.346987,0.419144,0
5793,0.64,0.420539,0.419148,0
5794,0.1,0.042171,0.419148,1
5795,0.1,0.041129,0.419148,1
5797,0.1,0.104281,0.419146,1
5798,0.17,0.032122,0.419116,0
5799,0.16,0.311769,0.419143,0
5800,0.1,0.194308,0.419138,1
5801,0.45,0.043307,0.419088,0
5802,0.15,1.536025,0.419088,0
5803,0.66,0.236975,0.41914,0
5804,0.71,1.973879,0.41914,0
5806,0.1,0.64202,0.419108,1
5807,0.56,0.243996,0.419144,0
5808,0.61,1.39809,0.419144,0
5809,0.22,0.225517,0.419152,0
5810,0.6,0.585361,0.419152,0
5811,0.1,0.121199,0.419146,1
5814,0.18,0.181821,0.419151,0
5815,0.7,0.693019,0.419152,0
5816,0.1,0.067655,0.419149,1
5818,0.1,0.08898,0.419148,1
5820,0.1,0.072567,0.419148,1
5822,0.1,0.074327,0.419148,1
5824,0.29,0.72728,0.419143,0
5825,0.87,0.672779,0.41915,0
5826,0.58,0.439156,0.419149,0
5827,0.27,0.248572,0.419152,0
5828,0.67,0.522441,0.419151,0
5829,0.21,0.269481,0.419151,0
5830,0.1,0.028103,0.419148,1
5832,0.1,0.105348,0.419147,1
5834,0.33,0.074951,0.41913,0
5835,0.2,0.874974,0.419132,0
5836,0.35,0.151925,0.419144,0
5837,0.35,0.80463,0.419144,0
5839,0.5,0.381962,0.419149,1
5842,0.5,0.651929,0.419146,1
5846,0.1,0.122728,0.419146,1
5848,0.21,0.117044,0.419147,0
5847,0.15,0.076676,0.419145,0
5849,0.18,0.366137,0.419141,0
5850,0.15,0.149791,0.419152,0
5851,0.11,0.112219,0.419151,0
5852,0.32,0.33042,0.419152,0
5853,0.2,0.190398,0.419152,0
5854,0.1,0.138596,0.419145,1
5858,0.1,0.074811,0.419148,1
5861,0.1,0.656484,0.419102,1
5862,0.44,0.353761,0.419151,0
5863,0.72,0.895269,0.419151,0
5864,0.65,0.43707,0.419149,0
5865,0.27,0.428707,0.419148,0
5866,0.89,0.751866,0.419149,0
5867,0.89,0.751866,0.419149,0
5868,0.41,0.547201,0.419151,0
5870,0.5,0.094233,0.419148,1
5869,0.5,0.129777,0.419148,1
5871,0.5,0.466156,0.419146,1
5872,0.5,0.27153,0.419148,1
5874,0.5,0.135195,0.419148,1
5875,0.5,0.125554,0.419148,1
5876,0.5,0.524211,0.419147,1
5878,0.7,0.451024,0.419149,0
5877,0.7,0.478945,0.419149,0
5879,0.1,0.054402,0.419148,1
5881,0.1,0.03136,0.419148,1
5883,0.1,0.083567,0.419148,1
5886,0.12,0.064777,0.419148,0
5887,0.24,0.442334,0.419148,0
5888,0.1,0.072848,0.419148,1
5890,0.1,0.081039,0.419148,1
5892,0.18,0.076975,0.419143,0
5893,0.21,0.488784,0.419143,0
5894,0.17,0.085002,0.419146,0
5895,0.28,0.557719,0.419146,0
5896,0.16,0.137661,0.419151,0
5897,0.28,0.325271,0.419151,0
5898,0.1,0.042387,0.419148,1
5899,0.1,0.056555,0.419148,1
5900,0.1,0.065125,0.419148,1
5901,0.1,0.066303,0.419148,1
5902,0.19,0.090408,0.419146,0
5903,0.1,0.201528,0.419142,1
5905,0.13,0.22995,0.419146,0
5904,0.11,0.178512,0.419147,0
5906,0.15,0.212467,0.419148,0
5908,0.18,0.157789,0.419149,0
5907,0.17,0.170026,0.419149,0
5910,0.15,0.083416,0.419147,0
5909,0.13,0.079022,0.419148,0
